id,area,translated_tw,required_tokens,translator_note
HGHU-TW-000015,系統與介面,登入,"{""brace_token"":[],""escaped_control"":[],""literal_newline"":[],""markup_tag"":[],""printf_token"":[],""var_tag"":[]}",
HGHU-TW-000016,系統與介面,離開,"{""brace_token"":[],""escaped_control"":[],""literal_newline"":[],""markup_tag"":[],""printf_token"":[],""var_tag"":[]}",
HGHU-TW-000017,系統與介面,登入錯誤,"{""brace_token"":[],""escaped_control"":[],""literal_newline"":[],""markup_tag"":[],""printf_token"":[],""var_tag"":[]}",
HGHU-TW-000018,系統與介面,檢測到個人資料登出。返回標題畫面。,"{""brace_token"":[],""escaped_control"":[],""literal_newline"":[],""markup_tag"":[],""printf_token"":[],""var_tag"":[]}",
HGHU-TW-000019,系統與介面,個人資料錯誤,"{""brace_token"":[],""escaped_control"":[],""literal_newline"":[],""markup_tag"":[],""printf_token"":[],""var_tag"":[]}",
HGHU-TW-000020,系統與介面,選擇的儲存裝置已斷開連接。無法儲存進度，返回標題畫面。,"{""brace_token"":[],""escaped_control"":[],""literal_newline"":[],""markup_tag"":[],""printf_token"":[],""var_tag"":[]}",
HGHU-TW-000021,系統與介面,警告！,"{""brace_token"":[],""escaped_control"":[],""literal_newline"":[],""markup_tag"":[],""printf_token"":[],""var_tag"":[]}",
HGHU-TW-000022,系統與介面,請斷開擴展控制器。,"{""brace_token"":[],""escaped_control"":[],""literal_newline"":[],""markup_tag"":[],""printf_token"":[],""var_tag"":[]}",
HGHU-TW-000023,系統與介面,存檔資料似乎已損壞。按「是」覆蓋損壞的資料。按「否」繼續而不儲存。,"{""brace_token"":[],""escaped_control"":[],""literal_newline"":[],""markup_tag"":[],""printf_token"":[],""var_tag"":[]}",
HGHU-TW-000024,系統與介面,正在檢查存檔資料。請勿關閉電源。,"{""brace_token"":[],""escaped_control"":[],""literal_newline"":[],""markup_tag"":[],""printf_token"":[],""var_tag"":[]}",
HGHU-TW-000025,系統與介面,無法存取存檔資料。請關閉電源並重新插入 SD 卡。,"{""brace_token"":[],""escaped_control"":[],""literal_newline"":[],""markup_tag"":[],""printf_token"":[],""var_tag"":[]}",
HGHU-TW-000026,系統與介面,存檔資料已損壞。您的存檔資料將被刪除並重新創建。,"{""brace_token"":[],""escaped_control"":[],""literal_newline"":[],""markup_tag"":[],""printf_token"":[],""var_tag"":[]}",
HGHU-TW-000027,系統與介面,控制器已斷開連接。,"{""brace_token"":[],""escaped_control"":[],""literal_newline"":[],""markup_tag"":[],""printf_token"":[],""var_tag"":[]}",
HGHU-TW-000028,系統與介面,請重新連接控制器。,"{""brace_token"":[],""escaped_control"":[],""literal_newline"":[],""markup_tag"":[],""printf_token"":[],""var_tag"":[]}",
HGHU-TW-000029,系統與介面,存取存檔資料時發生錯誤。按「返回」重試。按「確定」繼續而不儲存。,"{""brace_token"":[],""escaped_control"":[],""literal_newline"":[],""markup_tag"":[],""printf_token"":[],""var_tag"":[]}",
HGHU-TW-000030,系統與介面,要執行此操作，您必須退出遊戲。您現在要退出遊戲嗎？,"{""brace_token"":[],""escaped_control"":[],""literal_newline"":[],""markup_tag"":[],""printf_token"":[],""var_tag"":[]}",
HGHU-TW-000031,系統與介面,請重新連接無線控制器 %i。,"{""brace_token"":[],""escaped_control"":[],""literal_newline"":[],""markup_tag"":[],""printf_token"":[""%i""],""var_tag"":[]}",
HGHU-TW-000032,系統與介面,請重新連接控制器 %i，或選擇「確定」繼續。,"{""brace_token"":[],""escaped_control"":[],""literal_newline"":[],""markup_tag"":[],""printf_token"":[""%i""],""var_tag"":[]}",
HGHU-TW-000033,系統與介面,由於家長控制限制，您的 Sony Entertainment Network 帳戶上的線上服務已被禁用。,"{""brace_token"":[],""escaped_control"":[],""literal_newline"":[],""markup_tag"":[],""printf_token"":[],""var_tag"":[]}",
HGHU-TW-000034,系統與介面,存檔資料,"{""brace_token"":[],""escaped_control"":[],""literal_newline"":[],""markup_tag"":[],""printf_token"":[],""var_tag"":[]}",
HGHU-TW-000035,系統與介面,確定,"{""brace_token"":[],""escaped_control"":[],""literal_newline"":[],""markup_tag"":[],""printf_token"":[],""var_tag"":[]}",
HGHU-TW-000036,角色與劇情,真正的活動已經移到海岸的更遠處了！,"{""brace_token"":[],""escaped_control"":[],""literal_newline"":[],""markup_tag"":[],""printf_token"":[],""var_tag"":[]}",
HGHU-TW-000037,角色與劇情,那就是我要去的地方！,"{""brace_token"":[],""escaped_control"":[],""literal_newline"":[],""markup_tag"":[],""printf_token"":[],""var_tag"":[]}",
HGHU-TW-000038,角色與劇情,再見，小鬼！,"{""brace_token"":[],""escaped_control"":[],""literal_newline"":[],""markup_tag"":[],""printf_token"":[],""var_tag"":[]}",
HGHU-TW-000039,角色與劇情,呵呵呵！,"{""brace_token"":[],""escaped_control"":[],""literal_newline"":[],""markup_tag"":[],""printf_token"":[],""var_tag"":[]}",
HGHU-TW-000040,角色與劇情,嗚喔喔！,"{""brace_token"":[],""escaped_control"":[],""literal_newline"":[],""markup_tag"":[],""printf_token"":[],""var_tag"":[]}",
HGHU-TW-000041,角色與劇情,那個壞蛋！我要讓她看看！,"{""brace_token"":[],""escaped_control"":[],""literal_newline"":[],""markup_tag"":[],""printf_token"":[],""var_tag"":[]}",
HGHU-TW-000042,角色與劇情,再見了，燈塔！,"{""brace_token"":[],""escaped_control"":[],""literal_newline"":[],""markup_tag"":[],""printf_token"":[],""var_tag"":[]}",
HGHU-TW-000043,角色與劇情,如果有<hgh_f c=0>最好的海灘</hgh_f>存在，我會<hgh_f c=0>第一個</hgh_f>找到它！,"{""brace_token"":[],""escaped_control"":[],""literal_newline"":[],""markup_tag"":[""</hgh_f>"",""</hgh_f>"",""<hgh_f c=0>"",""<hgh_f c=0>""],""printf_token"":[],""var_tag"":[]}",
HGHU-TW-000044,角色與劇情,這個地區看起來很有希望！,"{""brace_token"":[],""escaped_control"":[],""literal_newline"":[],""markup_tag"":[],""printf_token"":[],""var_tag"":[]}",
HGHU-TW-000045,角色與劇情,溫暖的水，熱帶微風，潮池……,"{""brace_token"":[],""escaped_control"":[],""literal_newline"":[],""markup_tag"":[],""printf_token"":[],""var_tag"":[]}",
HGHU-TW-000046,角色與劇情,等等——潮池？,"{""brace_token"":[],""escaped_control"":[],""literal_newline"":[],""markup_tag"":[],""printf_token"":[],""var_tag"":[]}",
HGHU-TW-000047,角色與劇情,尖叫！！,"{""brace_token"":[],""escaped_control"":[],""literal_newline"":[],""markup_tag"":[],""printf_token"":[],""var_tag"":[]}",
HGHU-TW-000048,角色與劇情,這是尋找<hgh_f c=0>貝殼</hgh_f>的完美地點！,"{""brace_token"":[],""escaped_control"":[],""literal_newline"":[],""markup_tag"":[""</hgh_f>"",""<hgh_f c=0>""],""printf_token"":[],""var_tag"":[]}",
HGHU-TW-000049,角色與劇情,閃電螺！,"{""brace_token"":[],""escaped_control"":[],""literal_newline"":[],""markup_tag"":[],""printf_token"":[],""var_tag"":[]}",
HGHU-TW-000050,角色與劇情,獅子爪！,"{""brace_token"":[],""escaped_control"":[],""literal_newline"":[],""markup_tag"":[],""printf_token"":[],""var_tag"":[]}",
HGHU-TW-000051,角色與劇情,陽光普照，樂趣無窮！,"{""brace_token"":[],""escaped_control"":[],""literal_newline"":[],""markup_tag"":[],""printf_token"":[],""var_tag"":[]}",
HGHU-TW-000052,角色與劇情,朱諾尼亞！,"{""brace_token"":[],""escaped_control"":[],""literal_newline"":[],""markup_tag"":[],""printf_token"":[],""var_tag"":[]}",
HGHU-TW-000053,角色與劇情,我全都要！,"{""brace_token"":[],""escaped_control"":[],""literal_newline"":[],""markup_tag"":[],""printf_token"":[],""var_tag"":[]}",
HGHU-TW-000054,角色與劇情,我愛撿貝殼！,"{""brace_token"":[],""escaped_control"":[],""literal_newline"":[],""markup_tag"":[],""printf_token"":[],""var_tag"":[]}",
HGHU-TW-000055,角色與劇情,我要找到最大的最好的<hgh_f c=0>貝殼</hgh_f>，證明這是<hgh_f c=0>最好的海灘</hgh_f>！,"{""brace_token"":[],""escaped_control"":[],""literal_newline"":[],""markup_tag"":[""</hgh_f>"",""</hgh_f>"",""<hgh_f c=0>"",""<hgh_f c=0>""],""printf_token"":[],""var_tag"":[]}",
HGHU-TW-000056,角色與劇情,哦，看！,"{""brace_token"":[],""escaped_control"":[],""literal_newline"":[],""markup_tag"":[],""printf_token"":[],""var_tag"":[]}",
HGHU-TW-000057,角色與劇情,現在是退潮！,"{""brace_token"":[],""escaped_control"":[],""literal_newline"":[],""markup_tag"":[],""printf_token"":[],""var_tag"":[]}",
HGHU-TW-000058,角色與劇情,現在是我找到<hgh_f c=0>最大最棒的貝殼</hgh_f>的機會了！,"{""brace_token"":[],""escaped_control"":[],""literal_newline"":[],""markup_tag"":[""</hgh_f>"",""<hgh_f c=0>""],""printf_token"":[],""var_tag"":[]}",
HGHU-TW-000059,角色與劇情,咦？,"{""brace_token"":[],""escaped_control"":[],""literal_newline"":[],""markup_tag"":[],""printf_token"":[],""var_tag"":[]}",
HGHU-TW-000060,角色與劇情,你是誰？你的褲子呢？,"{""brace_token"":[],""escaped_control"":[],""literal_newline"":[],""markup_tag"":[],""printf_token"":[],""var_tag"":[]}",
HGHU-TW-000061,角色與劇情,哦，對不起……,"{""brace_token"":[],""escaped_control"":[],""literal_newline"":[],""markup_tag"":[],""printf_token"":[],""var_tag"":[]}",
HGHU-TW-000062,角色與劇情,這是私人海灘嗎？,"{""brace_token"":[],""escaped_control"":[],""literal_newline"":[],""markup_tag"":[],""printf_token"":[],""var_tag"":[]}",
HGHU-TW-000063,角色與劇情,呃……當然，為什麼不呢。,"{""brace_token"":[],""escaped_control"":[],""literal_newline"":[],""markup_tag"":[],""printf_token"":[],""var_tag"":[]}",
HGHU-TW-000064,角色與劇情,看，先生，我承認。我只是來找貝殼的。,"{""brace_token"":[],""escaped_control"":[],""literal_newline"":[],""markup_tag"":[],""printf_token"":[],""var_tag"":[]}",
HGHU-TW-000065,角色與劇情,給我幾分鐘時間四處看看，我<hgh_f c=0>保證</hgh_f>我會離開。,"{""brace_token"":[],""escaped_control"":[],""literal_newline"":[],""markup_tag"":[""</hgh_f>"",""<hgh_f c=0>""],""printf_token"":[],""var_tag"":[]}",
HGHU-TW-000066,角色與劇情,怎麼？你說你不是來關閉我的工廠的？,"{""brace_token"":[],""escaped_control"":[],""literal_newline"":[],""markup_tag"":[],""printf_token"":[],""var_tag"":[]}",
HGHU-TW-000067,角色與劇情,你只是想找<hgh_f c=0>貝殼</hgh_f>？,"{""brace_token"":[],""escaped_control"":[],""literal_newline"":[],""markup_tag"":[""</hgh_f>"",""<hgh_f c=0>""],""printf_token"":[],""var_tag"":[]}",
HGHU-TW-000068,角色與劇情,沒錯！,"{""brace_token"":[],""escaped_control"":[],""literal_newline"":[],""markup_tag"":[],""printf_token"":[],""var_tag"":[]}",
HGHU-TW-000069,角色與劇情,我甚至會和你五五分帳！,"{""brace_token"":[],""escaped_control"":[],""literal_newline"":[],""markup_tag"":[],""printf_token"":[],""var_tag"":[]}",
HGHU-TW-000070,角色與劇情,成交？,"{""brace_token"":[],""escaped_control"":[],""literal_newline"":[],""markup_tag"":[],""printf_token"":[],""var_tag"":[]}",
HGHU-TW-000071,角色與劇情,哼！,"{""brace_token"":[],""escaped_control"":[],""literal_newline"":[],""markup_tag"":[],""printf_token"":[],""var_tag"":[]}",
HGHU-TW-000072,角色與劇情,嘿嘿嘿嘿！！,"{""brace_token"":[],""escaped_control"":[],""literal_newline"":[],""markup_tag"":[],""printf_token"":[],""var_tag"":[]}",
HGHU-TW-000073,角色與劇情,你覺得像<hgh_f c=0>我</hgh_f>這樣的人會去篩那些鹹水泥嗎？,"{""brace_token"":[],""escaped_control"":[],""literal_newline"":[],""markup_tag"":[""</hgh_f>"",""<hgh_f c=0>""],""printf_token"":[],""var_tag"":[]}",
HGHU-TW-000074,角色與劇情,只是為了找一些酸酸的老海蟲殼？,"{""brace_token"":[],""escaped_control"":[],""literal_newline"":[],""markup_tag"":[],""printf_token"":[],""var_tag"":[]}",
HGHU-TW-000075,角色與劇情,真噁心！,"{""brace_token"":[],""escaped_control"":[],""literal_newline"":[],""markup_tag"":[],""printf_token"":[],""var_tag"":[]}",
HGHU-TW-000076,角色與劇情,不！,"{""brace_token"":[],""escaped_control"":[],""literal_newline"":[],""markup_tag"":[],""printf_token"":[],""var_tag"":[]}",
HGHU-TW-000077,角色與劇情,因為你看……,"{""brace_token"":[],""escaped_control"":[],""literal_newline"":[],""markup_tag"":[],""printf_token"":[],""var_tag"":[]}",
HGHU-TW-000078,角色與劇情,我已經擁有<hgh_f c=0>終極貝殼收藏</hgh_f>！,"{""brace_token"":[],""escaped_control"":[],""literal_newline"":[],""markup_tag"":[""</hgh_f>"",""<hgh_f c=0>""],""printf_token"":[],""var_tag"":[]}",
HGHU-TW-000079,角色與劇情,我的貝殼是<hgh_f c=0>最大</hgh_f>和<hgh_f c=0>最棒</hgh_f>的！,"{""brace_token"":[],""escaped_control"":[],""literal_newline"":[],""markup_tag"":[""</hgh_f>"",""</hgh_f>"",""<hgh_f c=0>"",""<hgh_f c=0>""],""printf_token"":[],""var_tag"":[]}",
HGHU-TW-000080,角色與劇情,真的嗎？！,"{""brace_token"":[],""escaped_control"":[],""literal_newline"":[],""markup_tag"":[],""printf_token"":[],""var_tag"":[]}",
HGHU-TW-000081,角色與劇情,拜託，你一定要告訴我你的秘密！,"{""brace_token"":[],""escaped_control"":[],""literal_newline"":[],""markup_tag"":[],""printf_token"":[],""var_tag"":[]}",
HGHU-TW-000082,角色與劇情,是什麼？告訴我！告訴我！,"{""brace_token"":[],""escaped_control"":[],""literal_newline"":[],""markup_tag"":[],""printf_token"":[],""var_tag"":[]}",
HGHU-TW-000083,角色與劇情,我要直奔海灘！,"{""brace_token"":[],""escaped_control"":[],""literal_newline"":[],""markup_tag"":[],""printf_token"":[],""var_tag"":[]}",
HGHU-TW-000084,角色與劇情,很簡單！,"{""brace_token"":[],""escaped_control"":[],""literal_newline"":[],""markup_tag"":[],""printf_token"":[],""var_tag"":[]}",
HGHU-TW-000085,角色與劇情,我走到<hgh_f c=0>紀念品店</hgh_f>然後<hgh_f c=0>買</hgh_f>它們！,"{""brace_token"":[],""escaped_control"":[],""literal_newline"":[],""markup_tag"":[""</hgh_f>"",""</hgh_f>"",""<hgh_f c=0>"",""<hgh_f c=0>""],""printf_token"":[],""var_tag"":[]}",
HGHU-TW-000086,角色與劇情,什麼？！,"{""brace_token"":[],""escaped_control"":[],""literal_newline"":[],""markup_tag"":[],""printf_token"":[],""var_tag"":[]}",
HGHU-TW-000087,角色與劇情,你不能<hgh_f c=0>買</hgh_f>你的貝殼收藏！,"{""brace_token"":[],""escaped_control"":[],""literal_newline"":[],""markup_tag"":[""</hgh_f>"",""<hgh_f c=0>""],""printf_token"":[],""var_tag"":[]}",
HGHU-TW-000088,角色與劇情,為什麼不行？,"{""brace_token"":[],""escaped_control"":[],""literal_newline"":[],""markup_tag"":[],""printf_token"":[],""var_tag"":[]}",
HGHU-TW-000089,角色與劇情,每個貝殼都是海洋的禮物，由洋流帶來，專屬於你！,"{""brace_token"":[],""escaped_control"":[],""literal_newline"":[],""markup_tag"":[],""printf_token"":[],""var_tag"":[]}",
HGHU-TW-000090,角色與劇情,在商店買貝殼是<hgh_f c=0>作弊</hgh_f>！,"{""brace_token"":[],""escaped_control"":[],""literal_newline"":[],""markup_tag"":[""</hgh_f>"",""<hgh_f c=0>""],""printf_token"":[],""var_tag"":[]}",
HGHU-TW-000091,角色與劇情,嘿嘿嘿嘿嘿！！,"{""brace_token"":[],""escaped_control"":[],""literal_newline"":[],""markup_tag"":[],""printf_token"":[],""var_tag"":[]}",
HGHU-TW-000092,角色與劇情,哦，你覺得那很糟糕嗎？！,"{""brace_token"":[],""escaped_control"":[],""literal_newline"":[],""markup_tag"":[],""printf_token"":[],""var_tag"":[]}",
HGHU-TW-000093,角色與劇情,相信我，還有更多！,"{""brace_token"":[],""escaped_control"":[],""literal_newline"":[],""markup_tag"":[],""printf_token"":[],""var_tag"":[]}",
HGHU-TW-000094,角色與劇情,但首先...,"{""brace_token"":[],""escaped_control"":[],""literal_newline"":[],""markup_tag"":[],""printf_token"":[],""var_tag"":[]}",
HGHU-TW-000095,角色與劇情,每當我<hgh_f c=0>真的</hgh_f>找到一個貝殼，我無論如何都會保留它！,"{""brace_token"":[],""escaped_control"":[],""literal_newline"":[],""markup_tag"":[""</hgh_f>"",""<hgh_f c=0>""],""printf_token"":[],""var_tag"":[]}",
HGHU-TW-000096,角色與劇情,<hgh_f c=0>即使裡面還有活物！</hgh_f>,"{""brace_token"":[],""escaped_control"":[],""literal_newline"":[],""markup_tag"":[""</hgh_f>"",""<hgh_f c=0>""],""printf_token"":[],""var_tag"":[]}",
HGHU-TW-000097,角色與劇情,<hgh_f c=0>倒吸一口氣！</hgh_f>,"{""brace_token"":[],""escaped_control"":[],""literal_newline"":[],""markup_tag"":[""</hgh_f>"",""<hgh_f c=0>""],""printf_token"":[],""var_tag"":[]}",
HGHU-TW-000098,角色與劇情,違法。,"{""brace_token"":[],""escaped_control"":[],""literal_newline"":[],""markup_tag"":[],""printf_token"":[],""var_tag"":[]}",
HGHU-TW-000099,角色與劇情,哦，是的！事實上，我會<hgh_f c=0>展示</hgh_f>給你看我最新的成果！,"{""brace_token"":[],""escaped_control"":[],""literal_newline"":[],""markup_tag"":[""</hgh_f>"",""<hgh_f c=0>""],""printf_token"":[],""var_tag"":[]}",
HGHU-TW-000100,角色與劇情,看看這個！它今天沖上岸，我覺得它還在扭動！,"{""brace_token"":[],""escaped_control"":[],""literal_newline"":[],""markup_tag"":[],""printf_token"":[],""var_tag"":[]}",
HGHU-TW-000101,角色與劇情,看看吧！,"{""brace_token"":[],""escaped_control"":[],""literal_newline"":[],""markup_tag"":[],""printf_token"":[],""var_tag"":[]}",
HGHU-TW-000102,角色與劇情,我最好複習一下夏季安全提示，以防萬一。,"{""brace_token"":[],""escaped_control"":[],""literal_newline"":[],""markup_tag"":[],""printf_token"":[],""var_tag"":[]}",
HGHU-TW-000103,角色與劇情,哦哦……這看起來不妙。,"{""brace_token"":[],""escaped_control"":[],""literal_newline"":[],""markup_tag"":[],""printf_token"":[],""var_tag"":[]}",
HGHU-TW-000104,角色與劇情,呼！,"{""brace_token"":[],""escaped_control"":[],""literal_newline"":[],""markup_tag"":[],""printf_token"":[],""var_tag"":[]}",
HGHU-TW-000105,角色與劇情,現在你明白了嗎，朋友？,"{""brace_token"":[],""escaped_control"":[],""literal_newline"":[],""markup_tag"":[],""printf_token"":[],""var_tag"":[]}",
HGHU-TW-000106,角色與劇情,規則存在是有原因的。為了幫助<hgh_f c=0>每個人</hgh_f>！,"{""brace_token"":[],""escaped_control"":[],""literal_newline"":[],""markup_tag"":[""</hgh_f>"",""<hgh_f c=0>""],""printf_token"":[],""var_tag"":[]}",
HGHU-TW-000107,角色與劇情,記住……,"{""brace_token"":[],""escaped_control"":[],""literal_newline"":[],""markup_tag"":[],""printf_token"":[],""var_tag"":[]}",
HGHU-TW-000108,角色與劇情,<hgh_f c=0>絕對不要</hgh_f>從海灘上拿走你不確定的貝殼。,"{""brace_token"":[],""escaped_control"":[],""literal_newline"":[],""markup_tag"":[""</hgh_f>"",""<hgh_f c=0>""],""printf_token"":[],""var_tag"":[]}",
HGHU-TW-000109,角色與劇情,我把它們寫在這裡了。讓我看看……,"{""brace_token"":[],""escaped_control"":[],""literal_newline"":[],""markup_tag"":[],""printf_token"":[],""var_tag"":[]}",
HGHU-TW-000110,角色與劇情,它可能是某個人的<hgh_f c=0>家</hgh_f>。,"{""brace_token"":[],""escaped_control"":[],""literal_newline"":[],""markup_tag"":[""</hgh_f>"",""<hgh_f c=0>""],""printf_token"":[],""var_tag"":[]}",
HGHU-TW-000111,角色與劇情,拿走活的貝殼會擾亂自然，可能會對我們的魚朋友造成傷害！,"{""brace_token"":[],""escaped_control"":[],""literal_newline"":[],""markup_tag"":[],""printf_token"":[],""var_tag"":[]}",
HGHU-TW-000112,角色與劇情,如果你不確定該怎麼做，請找負責任的成年人幫助你！,"{""brace_token"":[],""escaped_control"":[],""literal_newline"":[],""markup_tag"":[],""printf_token"":[],""var_tag"":[]}",
HGHU-TW-000113,角色與劇情,小子，你說得對。現在我知道了！,"{""brace_token"":[],""escaped_control"":[],""literal_newline"":[],""markup_tag"":[],""printf_token"":[],""var_tag"":[]}",
HGHU-TW-000114,角色與劇情,而且<hgh_f c=0>知道</hgh_f>是成功的一半！,"{""brace_token"":[],""escaped_control"":[],""literal_newline"":[],""markup_tag"":[""</hgh_f>"",""<hgh_f c=0>""],""printf_token"":[],""var_tag"":[]}",
HGHU-TW-000115,角色與劇情,另一半是什麼？,"{""brace_token"":[],""escaped_control"":[],""literal_newline"":[],""markup_tag"":[],""printf_token"":[],""var_tag"":[]}",
HGHU-TW-000116,角色與劇情,<hgh_f c=0>嚴重後果！</hgh_f>,"{""brace_token"":[],""escaped_control"":[],""literal_newline"":[],""markup_tag"":[""</hgh_f>"",""<hgh_f c=0>""],""printf_token"":[],""var_tag"":[]}",
HGHU-TW-000117,角色與劇情,這就解決了。,"{""brace_token"":[],""escaped_control"":[],""literal_newline"":[],""markup_tag"":[],""printf_token"":[],""var_tag"":[]}",
HGHU-TW-000118,角色與劇情,這個海灘還不錯。,"{""brace_token"":[],""escaped_control"":[],""literal_newline"":[],""markup_tag"":[],""printf_token"":[],""var_tag"":[]}",
HGHU-TW-000119,角色與劇情,但我敢打賭前面還有一個更<hgh_f c=0>好的</hgh_f>！,"{""brace_token"":[],""escaped_control"":[],""literal_newline"":[],""markup_tag"":[""</hgh_f>"",""<hgh_f c=0>""],""printf_token"":[],""var_tag"":[]}",
HGHU-TW-000120,角色與劇情,我不會停下來，直到我找到亮片大陸上<hgh_f c=0>最好的海灘</hgh_f>！,"{""brace_token"":[],""escaped_control"":[],""literal_newline"":[],""markup_tag"":[""</hgh_f>"",""<hgh_f c=0>""],""printf_token"":[],""var_tag"":[]}",
HGHU-TW-000121,角色與劇情,好熱好熱！,"{""brace_token"":[],""escaped_control"":[],""literal_newline"":[],""markup_tag"":[],""printf_token"":[],""var_tag"":[]}",
HGHU-TW-000122,角色與劇情,天啊，這好長。我真希望有辦法跳過這個。,"{""brace_token"":[],""escaped_control"":[],""literal_newline"":[],""markup_tag"":[],""printf_token"":[],""var_tag"":[]}",
HGHU-TW-000123,角色與劇情,這地方真是熱得發燙！,"{""brace_token"":[],""escaped_control"":[],""literal_newline"":[],""markup_tag"":[],""printf_token"":[],""var_tag"":[]}",
HGHU-TW-000124,角色與劇情,我無法想像有比這更適合享受陽光的地方了！,"{""brace_token"":[],""escaped_control"":[],""literal_newline"":[],""markup_tag"":[],""printf_token"":[],""var_tag"":[]}",
HGHU-TW-000125,角色與劇情,而且我光是想著就已經把想像力推到<hgh_f c=0>極限</hgh_f>了！,"{""brace_token"":[],""escaped_control"":[],""literal_newline"":[],""markup_tag"":[""</hgh_f>"",""<hgh_f c=0>""],""printf_token"":[],""var_tag"":[]}",
HGHU-TW-000126,角色與劇情,排球網可以放在那邊，我可以在這裡建一個巨大的沙堡……,"{""brace_token"":[],""escaped_control"":[],""literal_newline"":[],""markup_tag"":[],""printf_token"":[],""var_tag"":[]}",
HGHU-TW-000127,角色與劇情,總之……,"{""brace_token"":[],""escaped_control"":[],""literal_newline"":[],""markup_tag"":[],""printf_token"":[],""var_tag"":[]}",
HGHU-TW-000128,角色與劇情,天啊！,"{""brace_token"":[],""escaped_control"":[],""literal_newline"":[],""markup_tag"":[],""printf_token"":[],""var_tag"":[]}",
HGHU-TW-000129,角色與劇情,我一定是被某人的完美想法<hgh_f c=0>召喚</hgh_f>來的！,"{""brace_token"":[],""escaped_control"":[],""literal_newline"":[],""markup_tag"":[""</hgh_f>"",""<hgh_f c=0>""],""printf_token"":[],""var_tag"":[]}",
HGHU-TW-000130,角色與劇情,顯然你在想我的輝煌沙雕生涯，對吧？,"{""brace_token"":[],""escaped_control"":[],""literal_newline"":[],""markup_tag"":[],""printf_token"":[],""var_tag"":[]}",
HGHU-TW-000131,角色與劇情,咦？,"{""brace_token"":[],""escaped_control"":[],""literal_newline"":[],""markup_tag"":[],""printf_token"":[],""var_tag"":[]}",
HGHU-TW-000132,角色與劇情,沙堡是給初學者的，你知道的。,"{""brace_token"":[],""escaped_control"":[],""literal_newline"":[],""markup_tag"":[],""printf_token"":[],""var_tag"":[]}",
HGHU-TW-000133,角色與劇情,看你的樣子，你可能依賴塑料杯來塑造你的城垛。,"{""brace_token"":[],""escaped_control"":[],""literal_newline"":[],""markup_tag"":[],""printf_token"":[],""var_tag"":[]}",
HGHU-TW-000134,角色與劇情,但那真的只是小孩子的遊戲。,"{""brace_token"":[],""escaped_control"":[],""literal_newline"":[],""markup_tag"":[],""printf_token"":[],""var_tag"":[]}",
